Alloy,Tg,Tx,Tl,TEN,VA,d,Sm,Dmax
Ce65Al10Cu20Co5,363,414,695,1.36,26.2,0.2,9.7,8
Ca50Mg20Cu30,401,442,690,1.33,16.66,0.13,9.2,8
Cu36.4Mg27.2Ca36.4,383,412,706,1.41,15.01,0.13,9.69,8
La62Al14Cu20Ag4,404,456,729,1.36,26.51,0.21,10.17,8
La62.5Al12.5Ag5Cu17.5Co2.5,393,473,712,1.36,26.68,0.21,10.79,8
La60.5Al16.3Cu11.6Ni11.6,414,465,734,1.37,25.73,0.23,11.05,8
La59.6Al16.6Cu11.9Ni11.9,416,475,750,1.38,25.47,0.23,11.2,8
La57.6Al17.5Cu12.45Ni12.45,425,499,790,1.39,24.89,0.24,11.49,8
Er50Al24Co20Y6,651,702,1078,1.46,19.32,0.2,11.33,8
Cu43Zr43Al7Ag7,710,797,1125,1.64,15.21,0.14,9.89,8
Cu49Zr36Ag10Ti5,691,737,1130,1.68,14.94,0.13,9.76,8
Cu45Zr45Ag3Al7,708,786,1177,1.62,15.34,0.15,9.18,8
Cu46Zr45Al7Y2,693,770,1143,1.61,15.63,0.15,8.98,8
Ti40Zr25Ni8Cu9Be18,621,668,1009,1.59,14.65,0.19,13.34,8
Zr70Al8Cu11Ni11,633,706,1175,1.48,18.25,0.14,8.52,8
Zr48Nb8Cu14Ni12Be18,656,724,1072,1.54,15.23,0.21,13.19,8
Zr70Al8Cu6Ni16,631,705,1205,1.48,18.16,0.14,8.37,8
Zr48Nb8Cu12Fe8Be24,658,751,1071,1.52,15.07,0.22,13.07,8
Hf51Cu27.75Ni9.25Al12,777,872,1344,1.56,15.75,0.16,10.66,8
Mg65Cu15Ag10Y2Gd8,420,464,683,1.45,13.45,0.12,9.44,9
Mg65Cu7.5Ni7.5Ag5Zn5Y10,430,459,728,1.44,12.85,0.12,10.48,9
Mg62.5Cu26.5Gd11,427,483,748,1.45,13.36,0.13,7.99,9
Ca50Mg25Cu25,400,439,655,1.3,16.76,0.13,9.25,9
Mg58.5Cu30.5Y11,422,496,762,1.48,12.97,0.12,8.15,9
La55Al25Ni5Cu10Co5,465.2,541.8,822.5,1.39,24.07,0.24,12.14,9
La62.5Al12.5Ag5Cu15Co5,397,474,700,1.36,26.65,0.21,11.12,9
Cu45Zr45Ag5Al5,697,783,1147,1.63,15.45,0.14,9.22,9
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,433,473,735,1.44,12.92,0.12,10.97,9.5
Ca60Mg17.5Zn22.5,383,421,650,1.2,17.47,0.15,8.67,10
Ca62.5Mg17.5Zn20,375,412,640,1.18,17.85,0.14,8.4,10
Ca50Mg15Zn10Cu25,395,434,678,1.34,16.35,0.14,10.8,10
Mg65Cu15Ag5Pd5Gd10,430,472,748,1.46,13.43,0.12,9.63,10
Ce69.5Al10Cu20Co0.5,337,419,716,1.33,27.43,0.19,8.29,10
Ce69Al10Cu20Co1,340,421,713,1.33,27.29,0.19,8.5,10
Ce68Al10Cu20Co2,352,419,716,1.34,27.02,0.2,8.85,10
Ce69Al10Cu20Nb1,352,412,728,1.33,27.39,0.19,8.46,10
Ca50Mg22.5Cu27.5,400,442,663,1.32,16.71,0.13,9.24,10
Mg57Cu31.5Y9.2Nd2.3,428,502,777,1.48,13.15,0.12,8.81,10
La32Ce32Al16Ni5Cu15,403,451,712,1.35,26.3,0.22,13.82,10
La32Ce32Al16Ni5Cu12Co3,406,455,709,1.35,26.26,0.22,14.47,10
La62Cu24Al9.8Mg4.2,386,440,719,1.35,26.57,0.21,9.93,10
La32Ce32Al16Ni5Cu7Co8,416,471,739,1.35,26.2,0.22,14.74,10
La62Cu24Al10.5Mg3.5,386,431,712,1.35,26.54,0.21,9.89,10
La62Cu24Al10.8Mg3.2,387,421,710,1.35,26.52,0.21,9.87,10
La32Ce32Al16Ni5Cu5Co10,424,472,767,1.35,26.18,0.22,14.69,10
La63.1Al15.2Cu10.85Ni10.85,408,448,709,1.35,26.48,0.22,10.63,10
Cu50Zr43Al7,713,781,1205,1.63,14.99,0.15,8.25,10
Cu44Zr44Ag6Al6,698,790,1144,1.63,15.33,0.14,9.57,10
Cu46Zr42Al7Y5,672,772,1113,1.61,15.82,0.15,9.66,10
Ti2Zr46Cu36Al8Ag8,696,750,1145,1.61,15.75,0.14,10.78,10
Cu46Zr46Al7Gd1,698,771,1139,1.61,15.59,0.15,8.69,10
Zr48Cu37Al7Ag8,698,765,1125,1.61,15.88,0.14,9.96,10
Zr48Cu40Al7Ag5,699,769,1121,1.61,15.79,0.14,9.53,10
Fe2Zr48Cu34Al8Ag8,705,806,1169,1.6,15.86,0.14,10.74,10
Zr48Cu42Al7Ag3,700,763,1135,1.61,15.72,0.15,9.16,10
Nb2Zr46Cu36Al8Ag8,707,765,1150,1.61,15.78,0.14,10.78,10
Zr54.45Al19.8Co19.8Cu4.95Ag1,739,813,1275,1.53,15.96,0.17,10.71,10
Zr60.14Cu22.31Fe4.85Al9.7Ag3,658,743,1181,1.53,17.22,0.14,10.04,10
Cu49Hf42Al9,778,863,1249,1.62,14.82,0.15,8.56,10
Zr57Ti5Al10Cu20Ni8,676.7,720,1145,1.53,16.96,0.15,10.98,10
Hf47Cu29.25Ni9.75Al14,790,875,1278,1.58,15.19,0.16,11.05,10
Hf48Cu29.25Ni9.75Al13,785,874,1280,1.58,15.34,0.16,10.93,10
Zr70Al8Cu13.5Ni8.5,625,707,1171,1.48,18.29,0.14,8.46,10
La61.4Al15.9Cu11.35Ni11.35,413,459,729,1.36,25.99,0.23,10.91,10.5
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,440,477,726,1.44,13.13,0.13,10.58,11
La62.0Al15.6Cu11.2Ni11.2,410,453,712,1.36,26.17,0.23,10.81,11
Mg61Cu28Gd11,422,483,737,1.46,13.33,0.13,8.1,12
Mg57Cu31.5Y8Nd3.5,426,501,778,1.48,13.22,0.13,8.94,12
La32Ce32Al16Ni5Cu10Co5,413,467,718,1.35,26.24,0.22,14.65,12
La62Cu12Ni12Al14,423,452,744,1.36,26.19,0.23,10.83,12
Cu42Zr42Ag8Al8,705,780,1213,1.64,15.09,0.14,10.18,12
Cu43Zr43Al7Be7,710,813,1126,1.61,14.57,0.17,10.26,12
Zr48Cu43Al7Ag2,700,761,1152,1.61,15.69,0.15,8.93,12
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,438,474,719,1.44,13.06,0.13,11.02,13
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,434,472,718,1.44,12.99,0.12,11.1,14
Mg57Cu31Y6.6Nd5.4,427,491,778,1.48,13.41,0.13,9.13,14
Zr51.15Al18.6Co18.6Cu4.65Ag7,753,806,1222,1.55,15.76,0.16,11.74,14
Cu40Zr44Ag8Al8,693,791,1176,1.63,15.35,0.14,10.17,15
Au6Zr48Cu30Al8Ag8,723,813,1159,1.64,15.91,0.14,11.43,15
Cu34Zr50Ag8Al8,680,780,1148,1.59,16.12,0.14,10.04,15
Hf6Zr42Cu36Al8Ag8,695,796,1187,1.6,15.86,0.14,11.6,15
La62Al14Cu16.67Ag3.33Ni2Co2,412,472,713,1.36,26.43,0.22,11.19,16
La62Al14Cu13.33Ag2.67Ni4Co4,415,477,708,1.36,26.35,0.22,11.69,16
La62Al14Cu10Ag2Ni6Co6,429,471,698,1.36,26.27,0.22,11.93,16
Zr52.25Al19Co19Cu4.75Ag5,747,806,1220,1.54,15.83,0.16,11.48,16
Zr53.35Al19.4Co19.4Cu4.85Ag3,740,805,1246,1.54,15.89,0.16,11.16,16
Zr65Al7.5Cu17.5Ni10,656.5,735.6,1167,1.51,17.63,0.14,9.17,16
La62Al14Cu11.67Ag2.33Ni5Co5,418,491,703,1.36,26.31,0.22,11.84,20
Zr46Cu37.64Ag8.36Al8,707,780,1154,1.62,15.61,0.14,10.19,20
Cu38Zr46Ag8Al8,692,795,1145,1.62,15.6,0.14,10.15,20
Au4Zr48Cu32Al8Ag8,713,806,1153,1.63,15.9,0.14,11.13,20
Au2Zr48Cu34Al8Ag8,705,799,1153,1.62,15.88,0.14,10.74,20
Hf4Zr44Cu36Al8Ag8,694,795,1155,1.6,15.86,0.14,11.25,20
Pd6Zr48Cu30Al8Ag8,709,796,1155,1.62,15.96,0.14,11.42,20
Hf2Zr46Cu36Al8Ag8,692,794,1147,1.61,15.86,0.14,10.79,22.5
Y36Sc20Al24Co10Ni10,645,731,1010,1.48,17.88,0.2,13.81,25
Y36Sc20Al24Co20,645,760,1034,1.47,17.92,0.19,12.64,25
Zr48Cu36Al8Ag8,690,791,1143,1.61,15.86,0.14,10.1,25
Ni2Zr48Cu34Al8Ag8,687,797,1131,1.61,15.83,0.14,10.76,25
Pd4Zr48Cu32Al8Ag8,705,795,1153,1.62,15.92,0.14,11.13,25
Ni6Zr48Cu30Al8Ag8,695,779,1131,1.61,15.76,0.15,11.49,25
Mg59.5Cu22.9Ag6.6Gd11,425,472,734,1.47,13.5,0.13,9.47,27
Pd2Zr48Cu34Al8Ag8,699,794,1140,1.61,15.89,0.14,10.73,30
Ni4Zr48Cu32Al8Ag8,693,788,1129,1.61,15.79,0.15,11.17,30
Zr46Cu31.64Ag8.36Al8Be6,702,797,1103,1.6,15.26,0.17,11.85,35
Zr46Cu27.64Ag8.36Al8Be10,697,813,1129,1.58,15.02,0.18,12.47,35
